"","V1","V2","V3","V4","V5","V6"
"1",0.0406032926288994,-0.0690972260396347,0.0829897434915661,-0.0876168918234073,0.0787113377324446,-0.0592760117938871
"2",-0.0579564992087241,0.0698790330503967,0.0807020533892867,0.0437790731568277,-0.0656725052014644,0.0570193201645663
"3",0.0242157853316754,0.0294087874553536,0.0369016698247544,0.0382806287986375,0.0991471035523192,-0.0904102689920505
"4",0.0860373799470145,0.00816034804753219,0.072675625158639,-0.000738599036127875,0.00538340771235462,-0.0627460393541398
"5",0.0417707470279039,-0.00503956066586951,0.0152819212439941,0.0795082216167824,-0.0704100384537402,0.039929019334166
"6",-0.0992279736698747,-0.0674824768308609,-0.024359732308386,-0.0829363898689245,0.0142177422517048,0.0428084325918226
"7",0.0302267120114633,0.099444752316759,0.0361864962122208,0.0993046304327812,-0.0336175785430671,-0.0282802264330384
"8",-0.0303732764473707,-0.0583192369605305,0.0718101628881267,0.0417814183788901,-0.0324795932395019,0.00597515219408362
"9",-0.0949675363452028,0.0809598995831138,-0.00788278019534848,0.0623787745589914,-0.0308844441976131,0.0981542010526554
"10",0.0273506791545873,0.0804900065086167,-0.064084830267345,-0.075030085777184,-0.0525713560041661,-0.0436279824662802
"11",-0.0256794379042404,0.07353437283508,0.0218987355748605,-0.0738057003610373,0.0647995474707212,-0.0966441645853242
"12",0.0343774286724953,-0.0441370421160987,0.0252667101212356,-0.0928733073608077,-0.0467137722646668,0.00314778971078142
"13",-0.0515707681267128,-0.00177571075032983,0.0325461009923441,0.0993400197728714,0.0197456775144253,-0.0986839646749594
"14",0.0236837380958296,0.00847028596749128,-0.039508273214393,-0.0384346777825122,0.0472756563104954,-0.0888484234996711
"15",0.0430120293248143,0.014300422076798,0.0831803029681553,-0.0180733609477585,0.0674627861480002,-0.075124104659019
"16",-0.0542244447752127,0.0208128761621235,-0.062733202358686,-0.0655925117211794,-0.0391649597518332,-0.0383141219966356
